id,food_name,food_group,food_sub_group,per_serving_household_measure,Energy (kcal),Protein (g),Total fat (g),Saturated fat (g),Dietary fibre (g),Carbohydrate (g),Cholesterol (mg),Sodium (mg),ALA,B-Carotene,Calcium,Carotenoid,EPA+DHA,Folic Acid,Glycemic carbohydrate,Glycemic index,Isoflavones,LA,Lactose,Marine Collagen Peptide,Monounsaturated fat,Nitrogen,Omega-6,Omega-9,Pantothenic Acid,Phycocyanin,Polyunsaturated fat,Potassium,Protein,Retinol,Riboflavin,Saturated fat,Selenium,Sodium,Starch,Sugar,Taurine,Thiamin,Thiamine,Total fat,Trans Fat,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin C,Vitamin D,Water,Whole-grains,Zinc
376,Crabmeat,FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",1 portion (45g),27.9,5.22,0.54,0.09,0,0.5,29.25,121.5,0,0,103.95,0,0,0,0,0,0,0,0,0,0.14,0.84,0,0,0,0,0.18,96.3,5.22,0,0.04,0.09,14.99,121.5,0,0,0,0.01,0,0.54,0,0,0,0,0,0,0,0,37.98,0,0.99
377,"Crayfish, steamed",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),1 portion (25g),20.5,4.2,0.3,0.05,0,0,33.25,23.5,0,0,15,0,41.5,0,0,0,0,0,0,0,0.06,0.67,0,0,0,0,0.09,74,4.2,3.75,0.02,0.05,9.18,23.5,0,0,0,0.01,0,0.3,0,3.75,0,0,0,0,0.23,0,19.75,0,0.44
378,"Cuttlefish snack, prepared",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Packet (40g),141.2,15,0.32,0,0.08,19.6,0,369.2,0,3.6,20.4,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,108.4,15,17.6,0.03,0,0,369.2,0,0,0,0.01,0,0.32,0,18.4,0,0,0,0,0.48,0,3.6,0,0
379,"Cuttlefish, cooked",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Cup (200g),316,64.96,2.8,0.47,0,3.28,448,1488,0,0,360,0,420,0,0,0,0,0,0,0,0.32,10.39,0,0,0,0,0.54,1274,64.96,406,3.46,0.47,179.2,1488,0,0,0,0.03,0,2.8,0,406,0,0,0,0,17,0,122.24,0,6.92
380,"Cuttlefish, dried",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Piece (13g),39.05,7.88,0.36,0.09,0,1.07,0,134.94,0,0,12.48,0,0,0,0,0,0,0,0,0,0.03,1.26,0,0,0,0,0.14,78.65,7.88,12.61,0.02,0.09,0,134.94,0,0,0,0.01,0,0.36,0,12.61,0,0,0,0,0,0,3.02,0,0
381,"Cuttlefish, raw",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Cube/Square (6g),4.15,0.87,0.07,0.03,0,0.01,6.06,5.24,0,0,1.38,0,6.3,0,0,0,0,0,0,0,0.01,0.15,0,0,0,0,0.04,4.8,0.95,1.56,0.01,0.03,0,5.76,0,0,0,0,0,0.08,0,1.56,0,0,0,0,0.12,0,4.88,0,0
382,"Featherback, raw",FISH AND FISH PRODUCTS,Fish and roe,Slice (72g),43.06,8.25,1.03,0,0,0.21,0,8.21,0,0,62.64,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,187.2,14.47,66.24,0.02,0,0,14.4,0,0,0,0,0,1.8,0,66.24,0,0,0,0,3.74,0,54.5,0,0
383,"Fish ball, spirulina, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (22g),18.26,2.4,0.62,0.17,0.02,0.84,3.52,84.92,0,60.94,13.86,0,0,0,0,0,0,0,0,0,0.2,0.38,0,0,0,0,0.06,12.76,2.4,3.52,0,0.17,0.24,84.92,0.44,0.33,0,0.01,0,0.62,0,13.64,0,0,0,0,0,0,17.84,0,0.07
384,"Fish cracker, fried",FISH AND FISH PRODUCTS,Fish and roe,Piece (6.6g),343.2,4.16,8.56,3.69,0,62.32,0,421.6,0,0,10.03,0,0,0,0,0,0,0,0,0,0.68,0.09,0,0,0,0,0.17,5.92,0.54,1.08,0,0.7,2.88,84.35,4.05,0.01,0,0,0,1.62,0,1.08,0,0,0,0,0,0,0.21,0,0.01
385,"Fish roe, fresh",FISH AND FISH PRODUCTS,Fish and roe,Tablespoon (19g),27.34,4.26,1.08,0.25,0,0.15,61.18,27.74,0,0,2.47,0,0,0,0,0,0,0,0,0,0.29,0.68,0,0,0,0,0.44,28.69,4.26,13.49,0.04,0.25,0,27.74,0,0,0,0,0,1.08,0,13.49,0,0,0,0,0.68,0,13.26,0,0.25
386,"Fish slices, fried",FISH AND FISH PRODUCTS,Fish and roe,1 portion (167g),392.45,21.38,22.3,10.2,2.84,26.55,45.09,910.15,0,0,18.37,0,66.8,0,0,0,0,0,0,0,9.59,3.42,0,0,0,0,2.4,238.81,21.38,40.08,0,10.2,79.33,910.15,17.37,9.19,0,0.03,0,22.3,0.06,40.08,0,0,0,0,0,0,87.17,0,0.5
387,"Fish, bladder, unspecified, dried",FISH AND FISH PRODUCTS,Fish and roe,Piece (25g),85.21,20.25,0.48,0,0,0,0,3.5,0,0,4.75,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,3.25,20.25,7.25,0.01,0,0,3.5,0,0,0,0,0,0.48,0,7.25,0,0,0,0,0,0,4.28,0,0
388,"Fish, maw. soaked",FISH AND FISH PRODUCTS,Fish and roe,Packet (111g),130.98,14.65,7.77,5.43,0,0.56,13.32,16.65,0,0,7.77,0,0,0,0,0,0,0,0,0,1.69,2.34,0,0,0,0,0.37,2.22,14.65,1.11,0.04,5.43,0,16.65,0,0,0,0,0,7.77,0,1.11,0,0,0,0,0,0,88.02,0,0
389,"Flake, shark, steamed",FISH AND FISH PRODUCTS,Fish and roe,Piece (150g),187.68,45.45,0.3,0.12,0,0,82.5,141,0,0,12,0,75,0,0,0,0,0,0,0,0.03,7.27,0,0,0,0,0.15,624,45.45,0,0.11,0.12,46.5,141,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,109.35,0,0.6
390,"Fried fish, unspecified",FISH AND FISH PRODUCTS,Fish and roe,Whole (100g),120.64,10.4,6.54,3.02,0.16,5.04,26.52,184.08,0,0,78,0,180,0,0,0,0,0,0,0,5.16,3.2,0,0,0,0,1.54,234,20,5,0,5.81,93.5,354,9.7,0,0,0.07,0,12.58,0.02,5,0,0,0,0,0,0,53.2,0,1
391,"Garoupa, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (359g),185.53,43.21,1.46,0.51,0,0,26.85,234.36,0,0,143.6,0,330.28,0,0,0,0,0,0,0,0.39,10.17,0,0,0,0,0.14,1224.19,63.54,25.13,0.04,0.75,12.21,344.64,0,0,0,0.04,0,2.15,0,25.13,0,0,0,0,0,929.99,289.35,0,1.44
392,"Gouramy, snakeskin, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (121g),51.64,10.4,0.99,0,0,0.29,0,5.81,0,0,56.87,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,341.22,21.66,30.25,0.45,0,0,12.1,0,0,0,0.11,0,2.06,0,30.25,0,0,0,0,3.15,0,95.35,0,0
393,"Grouper, greasy, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (305g),110.02,26.17,0.54,0,0,0,0,101.99,0,0,195.2,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,1049.2,59.48,30.5,0.31,0,0,231.8,0,0,0,0.09,0,1.22,0,30.5,0,0,0,0,0,0,241.26,0,0
394,"Grunter, silver, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (180g),57.46,13.34,0.27,0,0,0.34,0,39.67,0,9,41.4,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,828,35.1,25.2,0.18,0,0,104.4,0,0,0,0.02,0,0.72,0,26.64,0,0,0,0,0,0,140.94,0,0
395,"Halibut, indian, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (431g),171.06,40.97,0.42,0,0,1.06,0,213.3,0,0,185.33,0,0,0,0,0,0,0,0,0,0,13.38,0,0,0,0,0,1810.2,83.61,107.75,0.26,0,0,435.31,0,0,0,0.17,0,0.86,0,107.75,0,0,0,0,0,0,338.77,0,0
396,"Herring, wolf, raw",FISH AND FISH PRODUCTS,Fish and roe,Slice (262g),160.34,32.07,2.99,0.94,0,1.1,113.18,105.32,0,0,133.62,0,0,0,0,0,0,0,0,0,1.05,8.55,0,0,0,0,1.31,723.12,53.45,68.12,0.1,1.57,126.02,175.54,0,0,0,0.1,0,4.98,0,68.12,0,0,0,0,2.36,1991.2,198.07,0,1.31
397,Imitation scallop cake,FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Piece (48g),66.24,3.94,1.06,0.28,0.82,10.27,4.37,318.24,0,0,63.36,0,0,0,0,0,0,0,0,0,0.29,0.63,0,0,0,0,0.15,17.76,3.94,0,0.02,0.28,0,318.24,7.34,1.87,0,0.02,0,1.06,0,0,0,0,0,0,0,0,31.82,0,0.1
398,"Jellyfish, raw",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",1 portion (40g),13.2,1.48,0.12,0.04,0,1.52,0,130,0,0,60,0,0,0,0,0,0,0,0,0,0.04,0.24,0,0,0,0,0.04,64,1.48,0,0.02,0.04,6.2,130,0,0,0,0.01,0,0.12,0,0,0,0,0,0,0,0,30.6,0,0.24
399,"Kissing gouramy, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (69g),28.77,6.69,0.2,0,0,0,0,6.09,0,0,53.13,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,209.07,13.66,26.22,0.32,0,0,12.42,0,0,0,0.02,0,0.41,0,26.22,0,0,0,0,2.14,0,54.03,0,0
400,Lobster roll hotdog,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),1 portion (303g),1331.38,54.6,73.3,31.57,4.64,113.32,0,2233.11,0,0,279.18,0,0,0,0,0,0,0,0,0,19.88,0,0,0,0,0,20.51,0,54.6,0,0,31.57,0,2233.11,0,21.63,0,0,0,73.3,1.33,391.14,0,0,0,0,0,0,144.83,0,0
401,Longtail shad,FISH AND FISH PRODUCTS,Fish and roe,Whole (378g),254.17,28.21,15.74,8.09,0,0,57.34,105.39,0,0,374.22,0,3931.2,0,0,0,0,0,0,0,12.44,11.01,0,0,0,0,5.25,1273.86,68.8,37.8,0.3,19.73,238.14,257.04,0,0,0,0.04,0,38.39,0.88,37.8,0,0,0,0,0,0,261.2,0,2.27
402,"Mackerel, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (79g),129.66,22.27,4.51,2.24,0,0,77.7,69.41,0,0,29.23,0,254.38,0,0,0,0,0,0,0,0.45,2.45,0,0,0,0,0.09,352.34,15.33,4.74,0.02,0.69,5.37,54.51,0,0,0,0.02,0,1.82,0,4.74,0,0,0,0,0,194.66,61.7,0,0.79
403,"Mackerel, salted",FISH AND FISH PRODUCTS,Fish and roe,Piece (40g),42.08,6.24,0.43,0.16,0,3.32,82.28,1433.8,0,0,0,0,0,0,0,0,0,0,0,0,0.16,1.49,0,0,0,0,0.16,119.2,9.32,0,0,0.24,11.32,2140,0,0,0,0.02,0,0.64,0,0,0,0,0,0,0,98.56,21.12,0,0.92
404,"Mackerel, spanish, raw",FISH AND FISH PRODUCTS,Fish and roe,Slice (247g),129.66,22.27,4.51,2.24,0,0,77.7,69.41,0,0,44.46,0,0,0,0,0,0,0,0,0,1.73,7.51,0,0,0,0,0.74,419.9,46.93,44.46,0.2,1.73,127.95,180.31,0,0,0,0.1,0,4.69,0,44.46,0,0,0,0,0,721.24,187.47,0,3.46
405,"Mollusks, scallop, mixed species, cooked, breaded and fried",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (big) (15.5g),33.48,2.8,1.7,0.41,0,1.57,8.37,71.92,0,0,6.51,0,29.3,0,0,0,0,0,0,0,0.7,0.45,0,0,0,0,0.44,51.62,2.8,0,0.02,0.41,4.17,71.92,0,0,0,0.01,0,1.7,0,0,0,0,0,0,0.36,0,9.06,0,0.16
406,"Mussel, raw",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (9.2g),2.12,0.37,0.05,0.03,0,0.04,2.26,8.81,0.01,32.75,5.89,0,0,0,0,0,0,0,0,0,0.07,0.3,0,0,0,0,0.05,11.59,1.85,14.63,0.02,0.14,3.22,44.07,0,0,0,0.01,0,0.26,0,20.06,0,0,0,0,0.33,0,6.65,0,0.23
407,"Mussel, smoked, canned in oil, drained",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Cup (160g),282.5,33.28,16.64,4.48,0,6.56,147.2,731.2,0.13,411.2,108.8,0,0,0,0,0,0,0,0,0,3.04,5.32,0,0,0,0,8.32,220.8,33.28,113.6,0.77,4.48,0,731.2,0,0,0,0.03,0,16.64,0,192,0,0,0,0,0,0,98.4,0,5.92
408,"Octopus, raw",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Cup (226.7g),152.43,27.72,1.93,0.42,0,4.09,89.23,427.56,0,0,120.15,0,185.89,0,0,0,0,0,0,0,0.37,5.41,0,0,0,0,0.54,793.45,33.8,102.02,0.09,0.51,101.56,521.41,0,4.99,0,0.07,0,2.36,0,102.02,0,0,0,0,11.34,0,181.93,0,3.81
409,"Oyster, raw",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (27g),29.27,2.84,0.55,0.08,1.66,3.24,0,4.74,0.01,3.78,35.64,0,0,0,0,0,0,0,0,0,0.03,0.52,0,0,0,0,0.19,61.56,3.24,5.94,0.1,0.22,18.74,83.7,0.16,0,0,0,0,0.65,0,6.48,0,0,0,0,0.54,0,21.65,0,12.93
410,"Oyster, smoked, canned in oil, drained",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (6g),10.61,1.04,0.72,0.2,0,0.42,4.56,23.46,0.01,20.22,2.52,0,0,0,0,0,0,0,0,0,0.11,0.17,0,0,0,0,0.37,11.4,1.04,2.4,0.03,0.2,0,23.46,0,0,0,0,0,0.72,0,6.3,0,0,0,0,0,0,3.63,0,0.88
411,"Prawn, king, raw",FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",Whole (37g),17.04,3.87,0.15,0.03,0,0,30.72,90.2,0,1.85,46.62,0,44.4,0,0,0,0,0,0,0,0.04,1.21,0,0,0,0,0.07,104.34,7.59,0,0.02,0.07,19.57,129.5,0,0,0,0,0,0.22,0,0.37,0,0,0,0,0,0,28.27,0,0.56
412,"Prawn, salted, dried",FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",Tablespoon (10g),19.5,4.37,0.26,0.13,0,0,52.5,489.19,0,0,55.5,0,0,0,0,0,0,0,0,0,0.07,0.7,0,0,0,0,0.06,55,4.37,2.1,0.01,0.13,7.54,489.19,0,0,0,0,0,0.26,0,2.1,0,0,0,0,0,0,3.74,0,0.38
413,"Queenfish, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (154g),70.93,15.47,0.83,0.15,0,0.45,67.91,61.12,0,0,224.84,0,0,0,0,0,0,0,0,0,0.46,5.05,0,0,0,0,0.15,509.74,31.57,21.56,0.2,0.31,0,124.74,0,0,0,0.28,0,1.69,0,21.56,0,0,0,0,1.85,0,117.35,0,2.31
414,"Rabbitfish, streaked, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (64g),30.53,6.85,0.27,0,0,0.14,0,22.39,0,0,14.72,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,218.88,12.93,12.8,0.28,0,0,42.24,0,0,0,0.08,0,0.51,0,12.8,0,0,0,0,0,0,49.54,0,0
415,Red tilapia,FISH AND FISH PRODUCTS,Fish and roe,Whole (313g),87.14,17.83,1.8,0.7,0,0,26.04,30.05,0.16,0,97.03,0,0,0,0,0,0,0,0,0,2.41,8.91,0,0,0,0,0.91,804.41,55.71,3.13,0,2.19,143.98,93.9,0,0,0,0.06,0,5.63,0.14,3.13,0,0,0,0,0,0,249.46,0,1.25
416,"Rohu, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (679g),257.07,57.38,0.95,0.41,0,4.75,0,108.64,0,0,129.01,0,149.38,0,0,0,0,0,0,0,0.48,18.36,0,0,0,0,0.51,583.94,114.75,33.95,0.54,0.81,0,217.28,0,0,0,0.07,0,1.9,0,33.95,0,0,0,0,0,0,537.77,0,0
417,"Salmon, australian canned in brine, drained",FISH AND FISH PRODUCTS,Fish and roe,Cup (210g),341.63,43.05,18.69,6.72,0,0,134.4,1104.6,0.21,0,739.2,0,0,0,0,0,0,0,0,0,3.99,6.89,0,0,0,0,5.88,575.4,43.05,33.6,0.65,6.72,0,1104.6,0,0,0,0.04,0,18.69,0,33.6,0,0,0,0,0,0,145.11,0,4.2
418,"Salmon, pink, canned in brine",FISH AND FISH PRODUCTS,Fish and roe,Cup (240g),303.72,46.56,12.96,2.88,0,0,165.6,1315.2,0.12,0,660,0,0,0,0,0,0,0,0,0,4.32,7.45,0,0,0,0,4.08,703.2,46.56,36,0.53,2.88,0,1315.2,0,0,0,0,0,12.96,0,36,0,0,0,0,0,96,176.4,0,2.4
419,"Salmon, pink, canned in brine,drained",FISH AND FISH PRODUCTS,Fish and roe,Cup (210g),495.33,89.46,14.7,3.15,0,1.05,170.1,1026.9,0.13,0,508.2,0,0,0,0,0,0,0,0,0,4.83,6.65,0,0,0,0,4.41,1392.3,89.46,98.7,0.74,3.15,71.82,1026.9,0,0,0,0.06,0,14.7,0,98.7,0,0,0,0,0,978.6,309.12,0,2.52
420,"Salmon, red, canned in brine",FISH AND FISH PRODUCTS,Fish and roe,Cup (240g),414.55,46.56,25.44,6.72,0,0,151.2,907.2,0.24,0,441.6,0,0,0,0,0,0,0,0,0,10.8,7.45,0,0,0,0,5.28,612,46.56,112.8,0.46,6.72,78,907.2,0,0,0,0.05,0,25.44,0,112.8,0,0,0,0,0,0,166.32,0,1.92
421,"Salmon, red, canned in brine, drained",FISH AND FISH PRODUCTS,Fish and roe,Cup (210g),383.84,43.05,23.52,6.09,0,0,140.7,840,0.23,0,407.4,0,0,0,0,0,0,0,0,0,10.08,6.89,0,0,0,0,4.83,567,43.05,105,0.46,6.09,68.25,840,0,0,0,0.04,0,23.52,0,105,0,0,0,0,0,0,141.75,0,1.89
422,"Salmon, steamed",FISH AND FISH PRODUCTS,Fish and roe,Piece (310g),570.4,84.82,23.25,4.94,0,0,176.7,164.3,0,0,142.6,0,4259.4,0,0,0,0,0,0,0,8.38,13.57,0,0,0,0,7.82,1410.5,84.82,99.2,0.49,4.94,143.22,164.3,0,0,0,0.36,0,23.25,0,99.2,0,0,0,0,3.1,0,202.71,0,1.61
423,Sambal lala,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Plate-23cm (322g),379.96,25.44,25.34,11.37,6.44,12.88,0,2125.2,0,296.56,325.22,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,3.74,0,25.44,210.27,0,11.37,0,2125.2,4.19,8.69,0,0,0,25.34,0.06,259.85,0,0,0,0,6.12,0,238.92,0,0
424,"Sardine, canned in oil, drained",FISH AND FISH PRODUCTS,Fish and roe,Whole (15g),32.87,3.15,2.26,0.72,0,0,16.5,87.75,0.05,0,55.05,0,0,0,0,0,0,0,0,0,0.74,0.5,0,0,0,0,0.69,35.1,3.15,9.45,0.04,0.72,5.78,87.75,0,0,0,0,0,2.27,0,9.45,0,0,0,0,0,12.6,9.3,0,0.26
425,"Scad, hairtail, dried",FISH AND FISH PRODUCTS,Fish and roe,Whole (53g),42.48,9.23,0.51,0.2,0,0,21.88,1507.07,0,0,51.94,0,0,0,0,0,0,0,0,0,0.21,3.08,0,0,0,0,0.21,120.84,19.24,37.63,0.06,0.42,25.97,3139.72,0,0,0,0.02,0,1.06,0,37.63,0,0,0,0,0,0,24.22,0,0.08
426,"Scad, hairtail, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (265g),135.73,22.71,3.95,1.87,0,2.34,95.72,80.14,0,0,169.6,0,2676.5,0,0,0,0,0,0,0,1.56,8.65,0,0,0,0,3.21,696.95,54.06,76.85,0.66,4.45,129.85,190.8,0,0,0,0.13,0,9.41,0,76.85,0,0,0,0,0,1484,198.22,0,0.42
427,"Scallop, boiled",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),1 portion (56g),58,12.43,0.84,0.17,0,0.28,31.92,86.8,0.01,0,16.24,0,0,0,0,0,0,0,0,0,0.06,1.99,0,0,0,0,0.34,113.68,12.43,3.92,0.08,0.17,14,86.8,0.28,0,0,0,0,0.84,0,3.92,0,0,0,0,0,0,41.72,0,2.3
428,"Scallop, raw",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (13g),11.2,2.41,0.13,0.03,0,0,6.63,28.6,0,0,3.64,0,0,0,0,0,0,0,0,0,0.01,0.38,0,0,0,0,0.05,39.39,2.41,0.91,0.02,0.03,4.24,28.6,0,0,0,0,0,0.13,0,0.91,0,0,0,0,0,0,10.02,0,0.38
429,"Sea bass, cock up, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (331g),189.5,40.62,1.37,0,0,0,0,169.9,0,0,119.16,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,963.21,68.85,39.72,0.5,0,260.83,287.97,0,0,0,0.5,0,2.32,0,39.72,0,0,0,0,0,0,251.89,0,1.99
430,"Sea pike, blunt jawed, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (212g),106.98,24.59,0.98,0.04,0,0,95.91,116.81,0,0,63.6,0,0,0,0,0,0,0,0,0,0.06,6.78,0,0,0,0,0.04,807.72,42.4,38.16,0.32,0.06,46.68,201.4,0,0,0,0.13,0,1.7,0,38.16,0,0,0,0,0,932.8,166,0,2.12
431,"Shad, gizzard",FISH AND FISH PRODUCTS,Fish and roe,Whole (50g),28.37,4.24,1.27,0.73,0,0,13.12,26.66,0,0,52.5,0,0,0,0,0,0,0,0,0,0.85,1.58,0,0,0,0,0.4,179,9.85,16.5,0.13,1.7,15,62,0,0,0,0,0,2.95,0,16.5,0,0,0,0,0,0,37.05,0,0.25
432,"Shishamo, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (20g),22,2.86,0.92,0.22,0,0.58,31.2,73.6,0,0,60.6,0,0,0,0,0,0,0,0,0,0.24,0.46,0,0,0,0,0.16,25.4,2.86,16,0.03,0.22,4.5,73.6,0,0,0,0,0,0.92,0,16,0,0,0,0,0,0,15.22,0,0.34
433,"Shrimp, fermented",FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",Tablespoon (20g),10.8,1.82,0.16,0,0,0.52,19.8,897,0,0,92.8,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,17.8,1.82,24.4,0.01,0,0,897,0,0,0,0,0,0.16,0,24.4,0,0,0,0,0,0,14.92,0,0.73
434,"Sickle fish, spotted, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (79g),31.99,6.88,0.17,0.07,0,0.73,26.77,28.5,0,7.9,26.07,0,0,0,0,0,0,0,0,0,0.16,2.5,0,0,0,0,0.08,236.21,15.64,18.96,0.09,0.16,24.83,64.78,0,0,0,0.01,0,0.4,0,20.54,0,0,0,0,1.58,0,60.28,0,0.29
435,"Silver whiting, whole, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (64g),27.84,6.56,0.19,0.1,0,0,13.12,24.96,0,0,39.04,0,0,0,0,0,0,0,0,0,0.13,2.1,0,0,0,0,0,224,13.12,11.52,0.03,0.19,17.92,49.92,0,0,0,0.04,0,0.38,0,11.52,0,0,0,0,0,179.2,49.92,0,0.26
436,"Snakehead, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (312g),124.86,26.41,2.15,0,0,0,0,28.7,0,0,112.32,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,1007.76,57.41,140.4,0.5,0,0,62.4,0,0,0,0.19,0,4.68,0,140.4,0,0,0,0,4.37,0,246.17,0,0
437,"Snapper, red",FISH AND FISH PRODUCTS,Fish and roe,Whole (673g),112.55,10.28,6.22,3.66,0.56,3.92,17.66,45.03,0,0,134.6,0,2220.9,0,0,0,0,0,0,0,3.16,22.4,0,0,0,0,3.23,1823.83,139.98,249.01,0.67,6.26,212,572.05,0,0,0,0.94,0,12.79,0,249.01,0,0,0,0,0,0,510.13,0,4.71
438,"Sole, long tongue, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (27g),8.52,1.99,0.04,0,0,0.03,6.64,25.46,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,55.62,4.86,2.7,0.04,0,0,62.1,0,0,0,0,0,0.11,0,2.7,0,0,0,0,0.22,21.6,21.6,0,0.19
439,"Spotted Spanish mackerel, raw",FISH AND FISH PRODUCTS,Fish and roe,1 portion (376g),191.99,37.88,4.62,2.39,0,0,51.89,76.1,0,0,462.48,0,1880,0,0,0,0,0,0,0,2.11,13.18,0,0,0,0,2.56,1733.36,82.34,259.44,0,5.19,423,165.44,0,0,0,0.11,0,10.04,0.22,259.44,0,0,0,0,0,417.17,278.62,0,2.63
440,Spotted trevally,FISH AND FISH PRODUCTS,Fish and roe,Whole (543g),228.71,54.5,1.12,0.71,0,0,33.88,242.83,0,0,173.76,0,217.2,0,0,0,0,0,0,0,0.38,16.77,0,0,0,0,0.38,2052.54,104.8,0,0,1.36,540.29,466.98,0,0,0,0.16,0,2.14,0.06,0,0,0,0,0,0,995.32,427.88,0,1.63
441,"Squid, raw",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Cup (226g),193.37,32.75,2.9,0.75,0,6.47,489.72,92.48,0,0,72.32,0,1012.48,0,0,0,0,0,0,0,0.24,5.63,0,0,0,0,1.18,555.96,35.21,22.6,0.93,0.81,101.25,99.44,0,6.96,0,0.05,0,3.12,0,22.6,0,0,0,0,10.62,0,177.52,0,3.46
442,"Starry triggerfish, whole, raw",FISH AND FISH PRODUCTS,Fish and roe,1 portion (212g),38.06,9.41,0.05,0.05,0,0,0,88.02,0,0,48.76,0,0,0,0,0,0,0,0,0,0,6.28,0,0,0,0,0,659.32,39.22,48.76,0.06,0.21,52.79,366.76,0,0,0,0.02,0,0.21,0,48.76,0,0,0,0,0,0,169.81,0,0.85
443,"Steamed fish, unspecified",FISH AND FISH PRODUCTS,Fish and roe,Piece (185g),170.44,31.02,5.11,2.4,0.31,0,61.42,456.04,0,0,18.5,0,444,0,0,0,0,0,0,0,2.22,5.98,0,0,0,0,1.02,323.75,37.37,101.75,0,2.89,158.18,549.45,0,0,0,0.02,0,6.15,0.03,101.75,0,0,0,0,0,112.26,138.57,0,0.56
444,"Surimi, finfish",FISH AND FISH PRODUCTS,Fish and roe,1 portion (75g),74.25,11.4,0.68,0.14,0,5.18,22.5,107.25,0.01,0,6.75,0,0,0,0,0,0,0,0,0,0.11,1.82,0,0,0,0,0.35,84,11.4,15,0.02,0.14,21.08,107.25,0,0,0,0.02,0,0.68,0,15,0,0,0,0,0,0,57.26,0,0.25
445,"Threadfin, dried, whole",FISH AND FISH PRODUCTS,Fish and roe,Slice (40g),71.22,16.04,0.76,0.44,0,0,77.2,1263.2,0,0,44.8,0,0,0,0,0,0,0,0,0,0.24,2.57,0,0,0,0,0.08,48.8,16.04,17.6,0.06,0.44,9.97,1263.2,0,0,0,0.03,0,0.76,0,17.6,0,0,0,0,0,0,17.92,0,0.16
